route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,1,LINE 1 SHUTTLE BUS,,3,,FFFFFF,000000
10,1,10,VAN HORNE,,3,,ed1c24,ffffff
100,1,100,FLEMINGDON PARK,,3,,ed1c24,ffffff
101,1,101,DOWNSVIEW PARK,,3,,ed1c24,ffffff
102,1,102,MARKHAM RD,,3,,ed1c24,ffffff
103,1,103,MOUNT PLEASANT NORTH,,3,,ed1c24,ffffff
104,1,104,FAYWOOD,,3,,ed1c24,ffffff
105,1,105,DUFFERIN NORTH,,3,,ed1c24,ffffff
106,1,106,SENTINEL,,3,,ed1c24,ffffff
107,1,107,YORK UNIVERSITY HEIGHTS,,3,,ed1c24,ffffff
108,1,108,DRIFTWOOD,,3,,ed1c24,ffffff
109,1,109,RANEE,,3,,ed1c24,ffffff
11,1,11,BAYVIEW,,3,,ed1c24,ffffff
110,1,110,ISLINGTON SOUTH,,3,,ed1c24,ffffff
111,1,111,EAST MALL,,3,,ed1c24,ffffff
112,1,112,WEST MALL,,3,,ed1c24,ffffff
113,1,113,DANFORTH,,3,,ed1c24,ffffff
114,1,114,QUEENS QUAY EAST,,3,,ed1c24,ffffff
115,1,115,SILVER HILLS,,3,,ed1c24,ffffff
116,1,116,MORNINGSIDE,,3,,ed1c24,ffffff
117,1,117,BIRCHMOUNT SOUTH,,3,,ed1c24,ffffff
118,1,118,THISTLE DOWN,,3,,ed1c24,ffffff
119,1,119,TORBARRIE,,3,,ed1c24,ffffff
12,1,12,KINGSTON RD,,3,,ed1c24,ffffff
120,1,120,CALVINGTON,,3,,ed1c24,ffffff
121,1,121,ESPLANADE-RIVER,,3,,ed1c24,ffffff
122,1,122,GRAYDON HALL,,3,,ed1c24,ffffff
123,1,123,SHERWAY,,3,,ed1c24,ffffff
124,1,124,SUNNYBROOK,,3,,ed1c24,ffffff
125,1,125,DREWRY,,3,,ed1c24,ffffff
126,1,126,CHRISTIE,,3,,ed1c24,ffffff
127,1,127,DAVENPORT,,3,,ed1c24,ffffff
128,1,128,STANLEY GREENE,,3,,ed1c24,ffffff
129,1,129,MCCOWAN NORTH,,3,,ed1c24,ffffff
13,1,13,AVENUE RD,,3,,ed1c24,ffffff
130,1,130,MIDDLEFIELD,,3,,ed1c24,ffffff
131,1,131,NUGGET,,3,,ed1c24,ffffff
132,1,132,MILNER,,3,,ed1c24,ffffff
133,1,133,NEILSON,,3,,ed1c24,ffffff
134,1,134,PROGRESS,,3,,ed1c24,ffffff
135,1,135,GERRARD,,3,,ed1c24,ffffff
14,1,14,GLENCAIRN,,3,,ed1c24,ffffff
149,1,149,ETOBICOKE-BLOOR,,3,,ed1c24,ffffff
15,1,15,EVANS,,3,,ed1c24,ffffff
154,1,154,CURRAN HALL,,3,,ed1c24,ffffff
16,1,16,McCOWAN,,3,,ed1c24,ffffff
160,1,160,BATHURST NORTH,,3,,ed1c24,ffffff
161,1,161,ROGERS RD,,3,,ed1c24,ffffff
162,1,162,LAWRENCE-DONWAY,,3,,ed1c24,ffffff
164,1,164,CASTLEFIELD,,3,,ed1c24,ffffff
165,1,165,WESTON RD NORTH,,3,,ed1c24,ffffff
167,1,167,PHARMACY NORTH,,3,,ed1c24,ffffff
168,1,168,SYMINGTON,,3,,ed1c24,ffffff
169,1,169,HUNTINGWOOD,,3,,ed1c24,ffffff
17,1,17,BIRCHMOUNT,,3,,ed1c24,ffffff
171,1,171,MOUNT DENNIS,,3,,ed1c24,ffffff
184,1,184,ANCASTER PARK,,3,,ed1c24,ffffff
185,1,185,SHEPPARD CENTRAL,,3,,ed1c24,ffffff
189,1,189,STOCKYARDS,,3,,ed1c24,ffffff
19,1,19,BAY,,3,,ed1c24,ffffff
191,1,191,UNDERHILL,,3,,ed1c24,ffffff
2,1,2,LINE 2 SHUTTLE BUS,,3,,FFFFFF,000000
20,1,20,CLIFFSIDE,,3,,ed1c24,ffffff
200,1,200,TORONTO ZOO,,3,,e472ac,ffffff
201,1,201,BLUFFER'S PARK,,3,,e472ac,ffffff
202,1,202,CHERRY BEACH,,3,,e472ac,ffffff
21,1,21,BRIMLEY,,3,,ed1c24,ffffff
22,1,22,COXWELL,,3,,ed1c24,ffffff
23,1,23,DAWES,,3,,ed1c24,ffffff
24,1,24,VICTORIA PARK,,3,,ed1c24,ffffff
25,1,25,DON MILLS,,3,,ed1c24,ffffff
26,1,26,DUPONT,,3,,ed1c24,ffffff
28,1,28,BAYVIEW SOUTH,,3,,ed1c24,ffffff
29,1,29,DUFFERIN,,3,,ed1c24,ffffff
3,1,3,SHUTTLE BUS,,3,,FFFFFF,000000
30,1,30,HIGH PARK NORTH,,3,,ed1c24,ffffff
300,1,300,BLOOR-DANFORTH,,3,,0054a6,ffffff
301,1,301,QUEEN,,0,,0054a6,ffffff
302,1,302,KINGSTON RD-MCCOWAN,,3,,0054a6,ffffff
304,1,304,KING,,0,,0054a6,ffffff
305,1,305,DUNDAS,,0,,0054a6,ffffff
306,1,306,CARLTON,,0,,0054a6,ffffff
307,1,307,BATHURST,,3,,0054a6,ffffff
31,1,31,GREENWOOD,,3,,ed1c24,ffffff
310,1,310,SPADINA,,0,,0054a6,ffffff
312,1,312,ST CLAIR,,0,,0054a6,ffffff
315,1,315,EVANS-BROWN'S LINE,,3,,0054a6,ffffff
32,1,32,EGLINTON WEST,,3,,ed1c24,ffffff
320,1,320,YONGE,,3,,0054a6,ffffff
322,1,322,COXWELL,,3,,0054a6,ffffff
324,1,324,VICTORIA PARK,,3,,0054a6,ffffff
325,1,325,DON MILLS,,3,,0054a6,ffffff
329,1,329,DUFFERIN,,3,,0054a6,ffffff
