stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,7978,"Millwood Rd at McRae Dr South Side",,43.704652,-79.367698,,,,,,1
2,155,"Bathurst St at Horsham Ave",,43.768449,-79.441504,,,,,,1
3,1514,"Royal York Rd at King Georges Rd",,43.650225,-79.512691,,,,,,1
4,2593,"Finch Ave West at Driftwood Ave",,43.757924,-79.513523,,,,,,1
5,1231,"Lawrence Ave East at Wanless Cres (West)",,43.727149,-79.392116,,,,,,2
7,4090,"Kennedy Rd at Huntingwood Dr",,43.795020,-79.293198,,,,,,1
8,9236,"Shorncliffe Ave at Newbridge Rd South Side",,43.625815,-79.542151,,,,,,1
9,8611,"Warden Ave at Tower Dr",,43.754307,-79.298221,,,,,,1
10,9248,"Thirtieth St at Alhena Ave",,43.602452,-79.532974,,,,,,1
11,423,"Birchmount Rd at Harvest Moon Dr",,43.823801,-79.317854,,,,,,1
12,3388,"Brown's Line at Woodbury Rd",,43.599389,-79.544276,,,,,,1
13,6713,"Pharmacy Ave at Huntingwood Dr",,43.781783,-79.320340,,,,,,1
14,6743,"Pharmacy Ave at Rosscowan Gate South Side",,43.784997,-79.321745,,,,,,1
16,8377,"Underhill Dr at Broadlands Blvd",,43.744031,-79.326011,,,,,,1
17,4629,"St Clair Ave East at Santamonica Blvd",,43.712912,-79.276699,,,,,,1
18,1999,"Driftwood Ave at Finch Ave West",,43.757895,-79.513233,,,,,,1
19,6946,"Rexdale Blvd at Martin Grove Rd",,43.713759,-79.581288,,,,,,1
20,8813,"Willowdale Ave at Northwood Dr",,43.791424,-79.411164,,,,,,2
21,10763,"Dovercourt Rd at Geary Ave North Side",,43.671083,-79.433224,,,,,,2
22,9285,"Drewry Ave at Marthon Cres (East)",,43.781792,-79.441105,,,,,,1
23,3022,"Post Rd at Bayview Ave East Side",,43.736369,-79.381338,,,,,,2
24,6864,"Queens Quay West at Rees St West Side",,43.638760,-79.387157,,,,,,1
25,11045,"Albion Rd at Finch Ave West",,43.741208,-79.588821,,,,,,1
26,10239,"Middlefield Rd at Passmore Ave",,43.827006,-79.264802,,,,,,1
28,2284,"EGLINTON AVE EAST AT LAIRD DR EAST SIDE",,43.713677,-79.363762,,,,,,1
29,2829,"Lesmill Rd at Valleybrook Dr West Side",,43.757793,-79.355475,,,,,,1
30,6445,"Huntingwood Dr at Garrybrook Dr",,43.789178,-79.307150,,,,,,1
31,3471,"Davenport Rd at Osler St",,43.670383,-79.459172,,,,,,1
32,8939,"Yonge Blvd at Dunster Ave North Side",,43.739877,-79.413594,,,,,,1
33,9654,"185 Graydon Hall Dr",,43.764226,-79.342218,,,,,,1
34,2241,"Eglinton Ave East at Beachell St",,43.742332,-79.222161,,,,,,2
35,3998,"Keele St at Greenbrook Dr South Side",,43.696812,-79.475456,,,,,,1
37,4431,"Le Page Crt at Keele St East Side",,43.758093,-79.488998,,,,,,1
40,1180,"Jones Ave at Baird Ave",,43.676657,-79.338684,,,,,,1
42,2057,"Dufferin St at Gordon St",,43.646696,-79.430224,,,,,,1
44,2441,"Evans Ave at Gair Dr",,43.610092,-79.551991,,,,,,1
45,2837,"Longbourne Dr at Redgrave Dr",,43.679218,-79.570130,,,,,,1
46,13916,"Huntingwood Rd at Ridgecrest Dr",,43.784370,-79.315280,,,,,,1
48,7734,"Elmhurst Dr at Muncey Ave",,43.724247,-79.553680,,,,,,1
50,2726,"Islington Ave at Norseman St",,43.634118,-79.518890,,,,,,1
51,12019,"McNicoll Ave at Midland Ave",,43.814437,-79.292415,,,,,,1
52,3191,"Wilson Heights Blvd at Clifton Ave",,43.758960,-79.463205,,,,,,1
53,6006,"Progress Ave at Estate Dr (West)",,43.781041,-79.237750,,,,,,1
54,9787,"Steeles Ave East at Midland Ave",,43.826099,-79.297089,,,,,,1
56,303,"Bayview Ave at Hillcrest Ave",,43.772666,-79.389534,,,,,,1
57,3174,"Willowridge Rd at Richgrove Dr",,43.675751,-79.568602,,,,,,1
58,8463,"Victoria Park Ave at Furnival Rd",,43.712557,-79.297658,,,,,,1
59,484,"BLOOR ST EAST AT SHERBOURNE ST",,43.672207,-79.377070,,,,,,1
60,5854,"299 Norfinch Dr",,43.768397,-79.531258,,,,,,1
61,4320,"Kipling Ave at Hayhurst Rd",,43.692199,-79.557813,,,,,,1
62,7990,"Moore Ave at Orchard Green",,43.696364,-79.374325,,,,,,2
63,12521,"Islington Ave at Finch Ave West South Side",,43.745770,-79.568755,,,,,,1
64,10847,"105 Ironside Cres",,43.828637,-79.246914,,,,,,1
65,5616,"Martin Grove Rd at Finch Ave West",,43.736669,-79.591400,,,,,,1
66,6092,"Sheppard Ave West at Yatescastle Dr",,43.740433,-79.506722,,,,,,1
68,4174,"King St West at Jameson Ave",,43.637264,-79.435842,,,,,,2
69,326,"Bayview Ave at Wilket Rd",,43.745990,-79.383662,,,,,,1
70,7142,"Sheppard Ave East at Allanford Rd West Side",,43.782148,-79.293818,,,,,,1
71,3134,"Trethewey Dr at Brookhaven Dr",,43.696992,-79.493473,,,,,,1
